frame_index,stage,duration_ms
111,visualization,94.71
112,frame_acquisition,33.20
112,detection,30.48
112,landmarks,127.97
112,visualization,108.65
113,frame_acquisition,33.09
113,detection,25.01
113,landmarks,111.90
113,visualization,99.84
114,frame_acquisition,33.11
114,detection,27.00
114,landmarks,119.15
114,visualization,102.59
115,frame_acquisition,33.41
115,detection,22.70
115,landmarks,122.62
115,visualization,107.08
116,frame_acquisition,33.28
116,detection,28.12
116,landmarks,117.92
116,visualization,102.26
117,frame_acquisition,33.11
117,detection,28.02
117,landmarks,131.75
117,visualization,100.94
118,frame_acquisition,33.15
118,detection,23.71
118,landmarks,122.79
118,visualization,110.45
119,frame_acquisition,33.44
119,detection,35.43
119,landmarks,121.54
119,visualization,108.09
120,frame_acquisition,33.07
120,detection,48.67
120,landmarks,176.13
120,visualization,105.57
121,frame_acquisition,33.14
121,detection,30.48
121,landmarks,130.66
121,visualization,99.42
122,frame_acquisition,33.16
122,detection,25.48
122,landmarks,119.93
122,visualization,96.74
123,frame_acquisition,33.11
123,detection,27.66
123,landmarks,111.12
123,visualization,101.73
124,frame_acquisition,33.08
124,detection,26.65
124,landmarks,116.94
124,visualization,94.55
125,frame_acquisition,33.11
125,detection,24.54
125,landmarks,115.12
125,visualization,97.18
126,frame_acquisition,33.16
126,detection,23.28
126,landmarks,126.81
126,visualization,144.96
127,frame_acquisition,33.11
127,detection,25.48
127,landmarks,123.18
127,visualization,99.54
128,frame_acquisition,33.41
128,detection,21.65
128,landmarks,116.64
128,visualization,101.27
129,frame_acquisition,33.48
129,detection,22.21
129,landmarks,119.77
129,visualization,109.71
130,frame_acquisition,33.08
130,detection,26.68
130,landmarks,117.81
130,visualization,105.97
131,frame_acquisition,33.11
131,detection,28.30
131,landmarks,111.27
131,visualization,95.40
132,frame_acquisition,33.07
132,detection,25.63
132,landmarks,114.20
132,visualization,104.57
133,frame_acquisition,33.11
133,detection,23.74
133,landmarks,124.18
133,visualization,100.69
134,frame_acquisition,33.62
134,detection,22.30
134,landmarks,113.83
134,visualization,118.71
135,frame_acquisition,33.12
135,detection,34.98
135,landmarks,124.38
135,visualization,106.68
136,frame_acquisition,33.06
136,detection,26.00
136,landmarks,153.86
136,visualization,113.30
137,frame_acquisition,33.18
137,detection,28.45
137,landmarks,132.78
137,visualization,108.41
138,frame_acquisition,33.08
138,detection,36.89
138,landmarks,137.28
138,visualization,109.14
139,frame_acquisition,33.07
139,detection,28.44
139,landmarks,134.11
139,visualization,109.55
140,frame_acquisition,33.16
140,detection,28.77
140,landmarks,143.37
140,visualization,103.31
141,frame_acquisition,33.07
141,detection,32.22
