frame_index,stage,duration_ms
140,frame_acquisition,33.14
127,detection,29.73
128,queue_frame,49.68
26,landmarks,168.36
26,queue_landmarks,0.11
27,queue_bbox,32.69
141,frame_acquisition,33.11
128,detection,39.18
129,queue_frame,55.73
142,frame_acquisition,33.09
129,detection,37.52
130,queue_frame,60.19
143,frame_acquisition,33.24
130,detection,36.18
131,queue_frame,63.24
144,frame_acquisition,33.09
26,visualization,124.27
131,detection,35.26
132,queue_frame,65.29
145,frame_acquisition,33.12
132,detection,33.17
133,queue_frame,65.40
146,frame_acquisition,33.12
147,frame_acquisition,33.12
27,landmarks,214.47
133,detection,35.30
27,queue_landmarks,0.05
28,queue_bbox,35.48
134,queue_frame,34.37
148,frame_acquisition,33.14
134,detection,39.63
135,queue_frame,41.08
149,frame_acquisition,33.18
135,detection,33.13
136,queue_frame,41.12
150,frame_acquisition,33.09
136,detection,34.80
137,queue_frame,42.69
151,frame_acquisition,33.08
27,visualization,131.87
137,detection,39.04
138,queue_frame,48.61
152,frame_acquisition,33.12
28,landmarks,173.61
28,queue_landmarks,0.08
29,queue_bbox,65.87
138,detection,32.01
139,queue_frame,47.49
153,frame_acquisition,33.09
139,detection,35.74
140,queue_frame,50.06
154,frame_acquisition,33.09
140,detection,35.21
141,queue_frame,52.24
155,frame_acquisition,33.09
141,detection,37.34
142,queue_frame,56.62
28,visualization,116.63
156,frame_acquisition,33.09
142,detection,32.45
143,queue_frame,56.01
157,frame_acquisition,33.10
29,landmarks,158.11
29,queue_landmarks,0.12
30,queue_bbox,44.32
143,detection,41.99
144,queue_frame,65.00
158,frame_acquisition,33.09
159,frame_acquisition,33.09
144,detection,41.15
145,queue_frame,39.89
160,frame_acquisition,33.09
145,detection,38.98
146,queue_frame,45.82
29,visualization,121.51
161,frame_acquisition,33.12
146,detection,42.62
147,queue_frame,55.56
162,frame_acquisition,33.08
30,landmarks,179.69
30,queue_landmarks,0.08
31,queue_bbox,69.11
147,detection,38.63
148,queue_frame,61.10
163,frame_acquisition,33.08
164,frame_acquisition,33.11
148,detection,40.15
149,queue_frame,34.99
165,frame_acquisition,33.13
149,detection,38.41
150,queue_frame,40.34
166,frame_acquisition,33.12
150,detection,37.51
151,queue_frame,44.76
30,visualization,133.86
167,frame_acquisition,33.11
151,detection,41.78
152,queue_frame,53.49
31,landmarks,180.20
31,queue_landmarks,0.16
32,queue_bbox,51.54
168,frame_acquisition,33.11
152,detection,36.63
153,queue_frame,57.04
169,frame_acquisition,33.08
153,detection,35.05
154,queue_frame,59.00
170,frame_acquisition,33.09
154,detection,35.17
155,queue_frame,61.12
171,frame_acquisition,33.12
31,visualization,114.34
155,detection,34.23
156,queue_frame,62.35
172,frame_acquisition,33.13
32,landmarks,162.03
32,queue_landmarks,0.10
33,queue_bbox,64.58
156,detection,30.90
157,queue_frame,60.07
173,frame_acquisition,33.16
157,detection,33.48
158,queue_frame,60.40
174,frame_acquisition,33.12
158,detection,37.01
159,queue_frame,64.43
175,frame_acquisition,33.12
176,frame_acquisition,33.09
159,detection,35.66
160,queue_frame,33.76
32,visualization,116.83
177,frame_acquisition,33.13
160,detection,33.26
161,queue_frame,33.91
33,landmarks,159.18
33,queue_landmarks,0.10
34,queue_bbox,52.00
161,detection,30.67
162,queue_frame,31.52
178,frame_acquisition,33.08
162,detection,31.53
163,queue_frame,30.03
179,frame_acquisition,33.09
163,detection,34.27
164,queue_frame,31.27
180,frame_acquisition,33.11
33,visualization,111.96
181,frame_acquisition,33.08
164,detection,36.01
165,queue_frame,34.13
182,frame_acquisition,33.11
165,detection,32.19
166,queue_frame,33.39
34,landmarks,156.44
34,queue_landmarks,0.11
35,queue_bbox,42.42
183,frame_acquisition,33.12
166,detection,40.17
167,queue_frame,40.53
184,frame_acquisition,33.09
167,detection,39.61
168,queue_frame,46.99
185,frame_acquisition,33.11
168,detection,38.85
169,queue_frame,52.73
34,visualization,120.30
186,frame_acquisition,33.11
169,detection,36.04
170,queue_frame,55.75
187,frame_acquisition,33.11
35,landmarks,176.16
35,queue_landmarks,0.11
36,queue_bbox,67.54
170,detection,40.46
171,queue_frame,63.16
188,frame_acquisition,33.14
189,frame_acquisition,33.10
171,detection,37.75
172,queue_frame,34.59
190,frame_acquisition,33.09
172,detection,38.64
173,queue_frame,40.16
191,frame_acquisition,33.09
35,visualization,116.16
173,detection,38.40
174,queue_frame,45.48
192,frame_acquisition,33.15
174,detection,32.08
175,queue_frame,44.52
36,landmarks,167.85
36,queue_landmarks,0.13
37,queue_bbox,43.79
193,frame_acquisition,33.12
175,detection,40.36
176,queue_frame,51.78
194,frame_acquisition,33.11
176,detection,40.20
177,queue_frame,58.79
195,frame_acquisition,33.12
177,detection,38.46
178,queue_frame,64.13
196,frame_acquisition,33.08
36,visualization,137.39
197,frame_acquisition,33.09
178,detection,41.38
179,queue_frame,39.35
198,frame_acquisition,33.09
179,detection,40.63
180,queue_frame,47.15
37,landmarks,207.43
37,queue_landmarks,0.12
38,queue_bbox,58.45
199,frame_acquisition,33.14
180,detection,44.00
181,queue_frame,58.08
200,frame_acquisition,33.11
201,frame_acquisition,33.09
181,detection,43.46
182,queue_frame,35.17
202,frame_acquisition,33.13
182,detection,44.31
183,queue_frame,46.49
37,visualization,125.90
203,frame_acquisition,33.09
183,detection,32.30
184,queue_frame,45.49
204,frame_acquisition,33.12
38,landmarks,171.07
39,queue_bbox,56.41
38,queue_landmarks,0.10
184,detection,27.34
185,queue_frame,39.75
205,frame_acquisition,33.09
185,detection,35.04
186,queue_frame,41.72
206,frame_acquisition,33.09
186,detection,35.46
187,queue_frame,44.10
207,frame_acquisition,33.09
187,detection,34.62
188,queue_frame,45.61
38,visualization,110.77
208,frame_acquisition,33.15
188,detection,30.73
189,queue_frame,43.26
39,landmarks,158.14
39,queue_landmarks,0.08
40,queue_bbox,49.39
209,frame_acquisition,33.09
189,detection,42.09
190,queue_frame,52.24
210,frame_acquisition,33.14
190,detection,30.86
191,queue_frame,49.96
211,frame_acquisition,33.08
191,detection,32.98
192,queue_frame,49.81
212,frame_acquisition,33.11
39,visualization,107.38
192,detection,27.87
193,queue_frame,44.62
213,frame_acquisition,33.11
193,detection,28.37
40,landmarks,144.00
40,queue_landmarks,0.04
194,queue_frame,39.92
41,queue_bbox,28.57
214,frame_acquisition,33.14
194,detection,34.47
195,queue_frame,41.47
215,frame_acquisition,33.14
195,detection,42.34
196,queue_frame,50.68
216,frame_acquisition,33.08
196,detection,29.55
197,queue_frame,47.08
40,visualization,109.66
217,frame_acquisition,33.10
197,detection,31.56
198,queue_frame,45.60
41,landmarks,150.63
41,queue_landmarks,0.08
42,queue_bbox,44.25
218,frame_acquisition,33.11
198,detection,26.45
199,queue_frame,38.92
219,frame_acquisition,33.12
199,detection,28.80
200,queue_frame,34.59
200,detection,29.61
201,queue_frame,31.08
220,frame_acquisition,33.11
41,visualization,97.83
201,detection,32.39
202,queue_frame,30.39
221,frame_acquisition,33.11
202,detection,27.05
203,queue_frame,24.38
42,landmarks,137.75
43,queue_bbox,33.02
42,queue_landmarks,0.12
222,frame_acquisition,33.13
203,detection,30.16
204,queue_frame,21.43
223,frame_acquisition,33.14
204,detection,38.66
205,queue_frame,26.99
224,frame_acquisition,33.12
205,detection,34.48
206,queue_frame,28.43
225,frame_acquisition,33.10
42,visualization,114.24
206,detection,31.32
207,queue_frame,26.68
226,frame_acquisition,33.11
43,landmarks,151.12
44,queue_bbox,53.58
43,queue_landmarks,0.21
207,detection,25.53
208,queue_frame,19.12
227,frame_acquisition,33.09
208,detection,31.19
209,queue_frame,17.21
228,frame_acquisition,33.11
209,detection,28.02
210,queue_frame,12.11
229,frame_acquisition,33.12
