frame_index,stage,duration_ms
135,landmarks,95.29
135,visualization,89.05
136,frame_acquisition,33.09
136,detection,23.40
136,landmarks,94.35
136,visualization,80.35
137,frame_acquisition,33.60
137,detection,22.65
137,landmarks,96.87
137,visualization,84.13
138,frame_acquisition,33.12
138,detection,22.13
138,landmarks,108.39
138,visualization,82.70
139,frame_acquisition,33.15
139,detection,32.69
139,landmarks,100.26
139,visualization,92.07
140,frame_acquisition,33.07
140,detection,21.40
140,landmarks,92.52
140,visualization,75.14
141,frame_acquisition,33.49
141,detection,22.44
141,landmarks,99.67
141,visualization,95.98
142,frame_acquisition,33.07
142,detection,23.36
142,landmarks,115.66
142,visualization,89.52
143,frame_acquisition,33.10
143,detection,25.74
143,landmarks,100.77
143,visualization,78.93
144,frame_acquisition,33.56
144,detection,21.02
144,landmarks,94.53
144,visualization,77.82
145,frame_acquisition,33.47
145,detection,21.24
145,landmarks,93.76
145,visualization,87.69
146,frame_acquisition,33.22
146,detection,22.76
146,landmarks,90.34
146,visualization,91.44
147,frame_acquisition,33.07
147,detection,21.21
147,landmarks,104.34
147,visualization,99.93
148,frame_acquisition,33.16
148,detection,25.18
148,landmarks,94.02
148,visualization,80.49
149,frame_acquisition,33.40
149,detection,20.61
149,landmarks,90.89
149,visualization,85.13
150,frame_acquisition,33.33
150,detection,20.47
150,landmarks,91.79
150,visualization,80.55
151,frame_acquisition,33.30
151,detection,25.40
151,landmarks,93.22
151,visualization,83.30
152,frame_acquisition,33.12
152,detection,21.91
152,landmarks,94.37
152,visualization,83.22
153,frame_acquisition,33.22
153,detection,21.66
153,landmarks,94.17
153,visualization,80.80
154,frame_acquisition,33.41
154,detection,23.46
154,landmarks,91.07
154,visualization,80.98
155,frame_acquisition,33.33
155,detection,21.90
155,landmarks,104.72
155,visualization,85.15
156,frame_acquisition,33.27
156,detection,21.84
156,landmarks,95.85
156,visualization,80.79
157,frame_acquisition,33.35
157,detection,31.65
157,landmarks,92.04
157,visualization,77.87
158,frame_acquisition,33.14
158,detection,25.63
158,landmarks,95.66
158,visualization,83.07
159,frame_acquisition,33.41
159,detection,21.90
159,landmarks,91.86
159,visualization,79.90
160,frame_acquisition,33.12
160,detection,26.95
160,landmarks,102.36
160,visualization,87.68
161,frame_acquisition,33.15
161,detection,21.04
161,landmarks,94.04
161,visualization,82.11
162,frame_acquisition,33.07
162,detection,23.84
162,landmarks,91.73
162,visualization,89.17
163,frame_acquisition,33.40
163,detection,22.44
163,landmarks,91.40
163,visualization,100.08
164,frame_acquisition,33.09
164,detection,21.78
164,landmarks,96.54
164,visualization,89.74
165,frame_acquisition,33.11
165,detection,28.94
165,landmarks,100.79
165,visualization,87.67
166,frame_acquisition,33.45
166,detection,22.76
166,landmarks,93.72
166,visualization,87.73
167,frame_acquisition,33.17
167,detection,24.11
167,landmarks,100.27
167,visualization,84.85
168,frame_acquisition,33.11
168,detection,21.81
168,landmarks,99.38
168,visualization,86.17
169,frame_acquisition,33.15
169,detection,22.88
169,landmarks,95.10
169,visualization,84.09
170,frame_acquisition,33.31
170,detection,22.70
170,landmarks,94.50
170,visualization,83.23
171,frame_acquisition,33.15
171,detection,21.80
171,landmarks,96.29
171,visualization,81.64
172,frame_acquisition,33.20
172,detection,22.14
172,landmarks,106.81
172,visualization,89.10
173,frame_acquisition,33.15
173,detection,23.52
173,landmarks,95.82
173,visualization,78.95
174,frame_acquisition,33.39
174,detection,22.58
174,landmarks,95.99
174,visualization,78.40
175,frame_acquisition,33.08
175,detection,22.76
175,landmarks,99.48
175,visualization,82.86
176,frame_acquisition,33.11
176,detection,22.62
176,landmarks,91.28
176,visualization,76.58
177,frame_acquisition,33.10
177,detection,23.30
177,landmarks,101.37
177,visualization,80.92
178,frame_acquisition,33.41
178,detection,20.42
178,landmarks,98.37
178,visualization,73.94
179,frame_acquisition,33.27
179,detection,22.21
179,landmarks,99.18
179,visualization,79.50
180,frame_acquisition,33.47
180,detection,21.29
180,landmarks,91.74
180,visualization,80.51
181,frame_acquisition,33.20
181,detection,22.33
181,landmarks,97.02
181,visualization,83.04
182,frame_acquisition,33.13
182,detection,22.86
182,landmarks,91.86
182,visualization,76.59
183,frame_acquisition,33.13
183,detection,23.60
183,landmarks,95.06
183,visualization,83.01
184,frame_acquisition,33.32
184,detection,23.40
184,landmarks,94.02
184,visualization,77.27
185,frame_acquisition,33.36
185,detection,21.60
185,landmarks,93.97
185,visualization,83.13
186,frame_acquisition,33.59
186,detection,21.92
186,landmarks,96.23
186,visualization,78.54
187,frame_acquisition,33.28
187,detection,21.22
187,landmarks,93.08
187,visualization,80.98
188,frame_acquisition,33.10
188,detection,22.57
188,landmarks,101.71
188,visualization,79.12
189,frame_acquisition,33.38
189,detection,22.22
189,landmarks,91.75
189,visualization,89.38
190,frame_acquisition,33.07
190,detection,21.16
190,landmarks,97.76
190,visualization,83.55
191,frame_acquisition,33.71
191,detection,22.10
191,landmarks,92.98
191,visualization,80.84
192,frame_acquisition,33.12
192,detection,20.90
192,landmarks,96.91
192,visualization,81.62
193,frame_acquisition,33.10
193,detection,21.11
193,landmarks,91.69
193,visualization,80.95
194,frame_acquisition,33.10
194,detection,23.23
194,landmarks,98.92
194,visualization,95.44
195,frame_acquisition,33.16
195,detection,23.34
195,landmarks,93.68
195,visualization,87.93
196,frame_acquisition,33.67
196,detection,21.14
196,landmarks,96.30
196,visualization,90.21
197,frame_acquisition,33.36
197,detection,22.31
197,landmarks,91.79
197,visualization,81.51
198,frame_acquisition,33.07
198,detection,23.24
198,landmarks,111.48
198,visualization,98.82
199,frame_acquisition,33.22
199,detection,21.92
199,landmarks,93.88
199,visualization,79.51
200,frame_acquisition,33.62
200,detection,23.09
200,landmarks,95.03
200,visualization,80.51
201,frame_acquisition,33.38
201,detection,22.14
201,landmarks,92.06
201,visualization,80.93
202,frame_acquisition,33.12
202,detection,26.52
202,landmarks,98.22
202,visualization,77.54
203,frame_acquisition,33.12
203,detection,22.95
203,landmarks,95.44
203,visualization,80.45
204,frame_acquisition,33.07
204,detection,22.57
204,landmarks,100.00
204,visualization,80.92
205,frame_acquisition,33.08
205,detection,24.45
205,landmarks,98.02
205,visualization,74.73
206,frame_acquisition,33.31
206,detection,22.51
206,landmarks,98.89
206,visualization,87.38
207,frame_acquisition,33.45
207,detection,24.90
207,landmarks,98.26
207,visualization,85.30
208,frame_acquisition,33.31
208,detection,22.75
208,landmarks,96.93
208,visualization,86.10
209,frame_acquisition,33.43
209,detection,22.79
209,landmarks,95.83
209,visualization,83.68
210,frame_acquisition,33.13
210,detection,24.10
210,landmarks,95.32
210,visualization,82.75
211,frame_acquisition,33.12
211,detection,23.19
211,landmarks,103.96
211,visualization,94.46
212,frame_acquisition,33.19
212,detection,22.13
212,landmarks,95.03
212,visualization,83.74
213,frame_acquisition,33.08
213,detection,38.03
213,landmarks,105.95
213,visualization,92.70
214,frame_acquisition,33.11
214,detection,20.66
214,landmarks,92.32
214,visualization,80.32
215,frame_acquisition,33.21
215,detection,29.99
215,landmarks,112.55
215,visualization,90.03
216,frame_acquisition,33.38
216,detection,22.30
216,landmarks,90.68
216,visualization,83.72
217,frame_acquisition,33.11
217,detection,27.98
217,landmarks,110.50
217,visualization,90.71
218,frame_acquisition,33.15
218,detection,22.59
218,landmarks,88.40
218,visualization,84.49
219,frame_acquisition,33.10
219,detection,22.90
219,landmarks,98.70
219,visualization,92.23
220,frame_acquisition,33.12
220,detection,25.75
220,landmarks,101.11
220,visualization,75.67
221,frame_acquisition,33.11
221,detection,26.27
221,landmarks,95.74
221,visualization,78.56
222,frame_acquisition,33.37
222,detection,22.52
222,landmarks,92.93
222,visualization,78.94
223,frame_acquisition,33.33
223,detection,24.67
223,landmarks,102.55
223,visualization,97.64
224,frame_acquisition,33.16
224,detection,22.59
224,landmarks,91.81
224,visualization,81.00
225,frame_acquisition,33.44
225,detection,22.96
225,landmarks,93.58
225,visualization,86.26
226,frame_acquisition,33.07
226,detection,21.70
226,landmarks,92.05
226,visualization,81.28
227,frame_acquisition,33.15
227,detection,22.24
227,landmarks,96.12
227,visualization,84.91
228,frame_acquisition,33.49
228,detection,22.81
228,landmarks,98.59
228,visualization,84.70
229,frame_acquisition,33.54
229,detection,24.16
229,landmarks,99.79
229,visualization,85.32
230,frame_acquisition,33.10
230,detection,22.95
230,landmarks,94.73
230,visualization,83.76
231,frame_acquisition,33.16
231,detection,21.93
231,landmarks,96.77
231,visualization,86.96
232,frame_acquisition,33.10
232,detection,29.80
232,landmarks,100.64
232,visualization,86.97
233,frame_acquisition,33.14
233,detection,23.27
233,landmarks,93.69
233,visualization,79.07
234,frame_acquisition,33.10
234,detection,24.44
234,landmarks,111.97
234,visualization,81.73
235,frame_acquisition,33.18
235,detection,26.39
235,landmarks,93.94
235,visualization,79.12
236,frame_acquisition,33.07
236,detection,21.63
236,landmarks,100.51
236,visualization,78.13
237,frame_acquisition,33.46
237,detection,22.53
237,landmarks,93.34
237,visualization,77.80
238,frame_acquisition,33.17
238,detection,26.30
238,landmarks,100.10
238,visualization,88.38
239,frame_acquisition,33.23
239,detection,21.40
239,landmarks,91.99
239,visualization,79.47
240,frame_acquisition,33.07
240,detection,27.27
240,landmarks,105.06
240,visualization,95.58
241,frame_acquisition,33.10
241,detection,23.66
241,landmarks,90.95
241,visualization,73.19
242,frame_acquisition,33.29
242,detection,26.59
242,landmarks,100.64
242,visualization,85.00
243,frame_acquisition,33.10
243,detection,22.17
243,landmarks,91.94
243,visualization,79.64
244,frame_acquisition,33.26
244,detection,24.34
244,landmarks,92.37
244,visualization,99.19
245,frame_acquisition,33.11
245,detection,24.26
245,landmarks,94.68
245,visualization,79.45
246,frame_acquisition,33.49
246,detection,22.62
246,landmarks,96.27
246,visualization,86.98
247,frame_acquisition,33.32
247,detection,22.36
247,landmarks,94.12
247,visualization,81.39
248,frame_acquisition,33.10
248,detection,23.13
248,landmarks,95.17
248,visualization,80.99
249,frame_acquisition,33.11
249,detection,26.15
249,landmarks,102.18
249,visualization,83.31
250,frame_acquisition,33.14
250,detection,22.97
250,landmarks,93.80
250,visualization,78.22
251,frame_acquisition,33.14
251,detection,22.00
251,landmarks,92.29
251,visualization,82.03
252,frame_acquisition,33.22
252,detection,22.09
252,landmarks,95.19
252,visualization,79.74
253,frame_acquisition,33.19
253,detection,25.41
253,landmarks,96.57
253,visualization,84.83
254,frame_acquisition,33.09
254,detection,20.32
254,landmarks,92.85
254,visualization,81.29
255,frame_acquisition,33.12
255,detection,22.63
255,landmarks,100.49
255,visualization,81.70
256,frame_acquisition,33.14
256,detection,23.06
256,landmarks,91.90
256,visualization,78.70
257,frame_acquisition,33.10
257,detection,24.82
257,landmarks,102.84
257,visualization,97.57
258,frame_acquisition,33.07
258,detection,22.51
258,landmarks,99.05
258,visualization,86.42
259,frame_acquisition,33.30
259,detection,22.97
259,landmarks,96.34
259,visualization,87.07
260,frame_acquisition,33.44
260,detection,21.71
260,landmarks,92.25
260,visualization,76.40
261,frame_acquisition,33.14
261,detection,24.14
261,landmarks,97.96
261,visualization,87.95
262,frame_acquisition,33.12
262,detection,20.71
262,landmarks,96.86
262,visualization,78.40
263,frame_acquisition,33.39
263,detection,22.53
263,landmarks,97.74
263,visualization,87.36
264,frame_acquisition,33.18
264,detection,21.34
264,landmarks,93.76
264,visualization,82.78
265,frame_acquisition,33.09
265,detection,28.10
265,landmarks,99.52
265,visualization,104.15
266,frame_acquisition,33.15
266,detection,24.98
266,landmarks,102.22
266,visualization,85.68
267,frame_acquisition,33.46
267,detection,24.05
267,landmarks,93.53
267,visualization,89.59
268,frame_acquisition,33.44
268,detection,23.08
268,landmarks,92.57
268,visualization,73.51
269,frame_acquisition,33.47
269,detection,21.34
269,landmarks,97.58
269,visualization,83.83
270,frame_acquisition,33.28
270,detection,23.23
270,landmarks,93.05
270,visualization,82.58
271,frame_acquisition,33.31
271,detection,21.67
271,landmarks,94.91
271,visualization,81.34
272,frame_acquisition,33.09
272,detection,26.49
272,landmarks,95.76
272,visualization,78.21
273,frame_acquisition,33.35
273,detection,24.37
273,landmarks,90.26
273,visualization,82.97
274,frame_acquisition,33.10
274,detection,23.17
