frame_index,stage,duration_ms
323,bbox_calculation,63.75
324,bbox_calculation,70.59
68,landmarks,125.99
68,visualization,103.04
69,data_queue,103.08
325,bbox_calculation,64.53
326,bbox_calculation,60.28
327,bbox_calculation,68.17
69,landmarks,122.43
69,visualization,106.68
70,data_queue,136.79
328,bbox_calculation,69.27
329,bbox_calculation,65.88
330,bbox_calculation,64.37
331,bbox_calculation,65.26
70,landmarks,131.90
70,visualization,107.63
71,data_queue,108.49
332,bbox_calculation,67.18
333,bbox_calculation,64.61
334,bbox_calculation,67.05
335,bbox_calculation,69.06
71,landmarks,127.57
71,visualization,99.72
72,data_queue,71.62
336,bbox_calculation,63.42
337,bbox_calculation,72.37
338,bbox_calculation,34.46
339,bbox_calculation,34.50
72,landmarks,138.11
72,visualization,122.10
73,data_queue,92.41
340,bbox_calculation,73.46
341,bbox_calculation,34.11
342,bbox_calculation,33.78
343,bbox_calculation,76.20
344,bbox_calculation,73.98
345,bbox_calculation,72.67
73,landmarks,183.72
73,visualization,149.67
74,data_queue,99.25
346,bbox_calculation,75.73
347,bbox_calculation,73.40
348,bbox_calculation,76.74
349,bbox_calculation,79.01
74,landmarks,201.43
74,visualization,128.12
75,data_queue,129.73
350,bbox_calculation,72.84
351,bbox_calculation,79.48
352,bbox_calculation,69.91
353,bbox_calculation,72.88
75,landmarks,168.85
75,visualization,119.46
76,data_queue,116.69
354,bbox_calculation,82.91
355,bbox_calculation,79.16
356,bbox_calculation,79.47
357,bbox_calculation,76.61
76,landmarks,199.24
76,visualization,117.79
77,data_queue,119.10
358,bbox_calculation,61.19
359,bbox_calculation,64.93
360,bbox_calculation,72.12
361,bbox_calculation,71.03
77,landmarks,148.93
77,visualization,117.97
78,data_queue,110.99
362,bbox_calculation,71.06
363,bbox_calculation,68.66
364,bbox_calculation,67.59
365,bbox_calculation,34.00
366,bbox_calculation,34.00
78,landmarks,164.08
78,visualization,103.35
79,data_queue,65.76
367,bbox_calculation,63.68
368,bbox_calculation,33.90
369,bbox_calculation,33.86
370,bbox_calculation,75.34
371,bbox_calculation,75.10
79,landmarks,150.79
79,visualization,117.73
80,data_queue,93.28
372,bbox_calculation,70.53
373,bbox_calculation,71.01
374,bbox_calculation,71.30
375,bbox_calculation,78.47
80,landmarks,167.52
80,visualization,115.85
81,data_queue,88.58
376,bbox_calculation,75.69
377,bbox_calculation,72.64
378,bbox_calculation,74.52
379,bbox_calculation,70.66
81,landmarks,199.91
81,visualization,112.63
82,data_queue,99.58
380,bbox_calculation,67.94
381,bbox_calculation,61.36
382,bbox_calculation,72.33
383,bbox_calculation,74.14
82,landmarks,140.35
82,visualization,119.98
83,data_queue,87.45
384,bbox_calculation,74.49
385,bbox_calculation,72.98
386,bbox_calculation,79.86
