frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
371,268.14,301.32,3.73,3.32
372,243.94,277.13,4.10,3.61
373,253.37,286.53,3.95,3.49
374,270.27,303.51,3.70,3.29
375,312.80,345.94,3.20,2.89
376,257.80,290.95,3.88,3.44
377,244.74,277.84,4.09,3.60
378,265.50,298.77,3.77,3.35
379,254.00,287.20,3.94,3.48
380,249.06,282.27,4.02,3.54
381,245.36,278.59,4.08,3.59
382,267.91,301.10,3.73,3.32
383,239.91,273.44,4.17,3.66
384,251.16,284.30,3.98,3.52
385,257.17,290.40,3.89,3.44
386,253.31,286.57,3.95,3.49
387,252.12,285.30,3.97,3.51
388,248.90,282.40,4.02,3.54
389,251.46,284.75,3.98,3.51
390,252.22,285.45,3.96,3.50
391,256.10,289.34,3.90,3.46
392,264.67,297.84,3.78,3.36
393,262.81,296.33,3.81,3.37
394,289.59,322.82,3.45,3.10
395,257.70,290.89,3.88,3.44
396,248.86,282.01,4.02,3.55
397,229.43,262.63,4.36,3.81
398,252.04,285.20,3.97,3.51
399,255.18,288.40,3.92,3.47
400,258.62,292.11,3.87,3.42
401,247.51,280.66,4.04,3.56
402,247.76,281.25,4.04,3.56
403,258.56,291.78,3.87,3.43
404,242.42,275.59,4.13,3.63
405,251.60,284.78,3.97,3.51
406,252.80,285.98,3.96,3.50
407,246.14,279.42,4.06,3.58
408,252.31,285.48,3.96,3.50
409,251.69,284.87,3.97,3.51
410,253.05,286.38,3.95,3.49
411,246.93,280.11,4.05,3.57
412,233.84,267.00,4.28,3.75
413,251.23,284.57,3.98,3.51
414,268.99,302.17,3.72,3.31
415,257.78,290.98,3.88,3.44
416,261.59,294.73,3.82,3.39
417,248.47,281.78,4.02,3.55
418,240.32,273.86,4.16,3.65
419,242.24,275.47,4.13,3.63
420,247.53,280.75,4.04,3.56
421,263.65,296.81,3.79,3.37
422,243.58,276.88,4.11,3.61
423,241.52,274.64,4.14,3.64
424,250.12,283.24,4.00,3.53
425,237.96,271.11,4.20,3.69
426,292.86,326.06,3.41,3.07
427,294.39,327.57,3.40,3.05
428,288.80,322.01,3.46,3.11
429,301.45,334.64,3.32,2.99
430,258.15,291.33,3.87,3.43
431,240.05,273.23,4.17,3.66
432,239.30,272.50,4.18,3.67
433,255.17,288.67,3.92,3.46
434,243.98,277.42,4.10,3.60
435,253.61,286.79,3.94,3.49
436,255.61,288.77,3.91,3.46
437,251.09,284.24,3.98,3.52
438,250.50,283.71,3.99,3.52
439,240.00,273.46,4.17,3.66
440,247.13,280.60,4.05,3.56
441,249.20,282.40,4.01,3.54
442,247.64,280.90,4.04,3.56
443,291.91,325.16,3.43,3.08
444,252.32,285.49,3.96,3.50
445,255.61,288.80,3.91,3.46
446,243.02,276.19,4.11,3.62
447,259.34,292.56,3.86,3.42
448,244.82,278.06,4.08,3.60
449,280.74,313.99,3.56,3.18
450,258.86,292.09,3.86,3.42
451,289.07,322.25,3.46,3.10
452,279.61,312.90,3.58,3.20
453,264.34,297.46,3.78,3.36
454,274.89,308.04,3.64,3.25
455,275.52,308.70,3.63,3.24
456,274.44,307.62,3.64,3.25
457,263.80,297.12,3.79,3.37
458,249.22,282.40,4.01,3.54
459,268.59,301.77,3.72,3.31
460,238.69,271.85,4.19,3.68
461,271.13,304.30,3.69,3.29
462,263.37,296.57,3.80,3.37
463,248.18,281.35,4.03,3.55
464,257.77,291.22,3.88,3.43
465,246.24,279.41,4.06,3.58
466,267.45,300.77,3.74,3.32
467,243.17,276.40,4.11,3.62
468,258.92,292.25,3.86,3.42
469,256.01,289.20,3.91,3.46
470,260.19,293.63,3.84,3.41
471,320.26,353.43,3.12,2.83
472,269.26,302.43,3.71,3.31
473,251.46,284.62,3.98,3.51
474,251.19,284.67,3.98,3.51
475,279.37,312.53,3.58,3.20
476,258.86,292.35,3.86,3.42
477,335.77,368.97,2.98,2.71
478,347.78,380.94,2.88,2.63
479,286.92,320.14,3.49,3.12
480,264.68,297.85,3.78,3.36
481,303.79,337.02,3.29,2.97
482,259.99,293.11,3.85,3.41
483,246.75,279.92,4.05,3.57
484,252.11,285.27,3.97,3.51
485,234.71,268.35,4.26,3.73
486,244.05,277.20,4.10,3.61
487,241.31,274.51,4.14,3.64
488,243.72,276.99,4.10,3.61
489,249.54,282.98,4.01,3.53
490,247.06,280.23,4.05,3.57
491,280.28,313.77,3.57,3.19
492,283.33,316.48,3.53,3.16
493,304.10,337.34,3.29,2.96
494,249.41,282.64,4.01,3.54
495,262.47,295.63,3.81,3.38
496,278.49,311.63,3.59,3.21
497,269.17,302.34,3.72,3.31
498,278.06,311.23,3.60,3.21
499,283.94,317.09,3.52,3.15
