frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
368,211.21,244.36,4.73,4.09
369,222.14,255.40,4.50,3.92
370,213.75,246.99,4.68,4.05
371,223.38,256.63,4.48,3.90
372,219.03,252.43,4.57,3.96
373,213.36,246.54,4.69,4.06
374,215.88,249.29,4.63,4.01
375,221.25,254.70,4.52,3.93
376,206.55,239.99,4.84,4.17
377,218.25,251.44,4.58,3.98
378,212.70,245.91,4.70,4.07
379,225.38,258.54,4.44,3.87
380,215.92,249.10,4.63,4.01
381,218.30,251.58,4.58,3.97
382,235.47,268.65,4.25,3.72
383,224.71,258.19,4.45,3.87
384,215.39,248.52,4.64,4.02
385,219.60,252.82,4.55,3.96
386,210.99,244.15,4.74,4.10
387,230.30,263.50,4.34,3.80
388,222.66,255.95,4.49,3.91
389,235.20,268.32,4.25,3.73
390,208.98,242.23,4.79,4.13
391,226.98,260.13,4.41,3.84
392,241.93,275.11,4.13,3.63
393,218.78,252.25,4.57,3.96
394,215.27,248.51,4.65,4.02
395,224.88,258.07,4.45,3.87
396,224.68,257.88,4.45,3.88
397,248.21,281.36,4.03,3.55
398,220.06,253.22,4.54,3.95
399,224.60,258.12,4.45,3.87
400,224.96,258.55,4.45,3.87
401,223.42,256.76,4.48,3.89
402,230.53,263.68,4.34,3.79
403,245.79,279.34,4.07,3.58
404,218.25,251.41,4.58,3.98
405,212.43,245.94,4.71,4.07
406,221.88,255.04,4.51,3.92
407,220.73,254.26,4.53,3.93
408,229.42,262.67,4.36,3.81
409,212.26,245.62,4.71,4.07
410,254.81,288.18,3.92,3.47
411,231.85,264.97,4.31,3.77
412,211.69,245.13,4.72,4.08
413,216.93,250.36,4.61,3.99
414,253.58,287.05,3.94,3.48
415,240.68,273.92,4.15,3.65
416,251.55,284.72,3.98,3.51
417,235.51,268.72,4.25,3.72
418,243.35,276.54,4.11,3.62
419,232.47,265.62,4.30,3.76
420,219.81,252.96,4.55,3.95
421,215.08,248.26,4.65,4.03
422,211.65,245.25,4.72,4.08
423,250.32,283.54,3.99,3.53
424,245.89,279.07,4.07,3.58
425,216.07,249.22,4.63,4.01
426,221.42,254.57,4.52,3.93
427,213.91,247.26,4.67,4.04
428,210.19,243.56,4.76,4.11
429,218.57,251.80,4.58,3.97
430,221.15,254.34,4.52,3.93
431,246.31,279.70,4.06,3.58
432,209.49,242.98,4.77,4.12
433,218.80,252.02,4.57,3.97
434,225.79,259.03,4.43,3.86
435,220.61,253.91,4.53,3.94
436,212.92,246.41,4.70,4.06
437,213.02,246.14,4.69,4.06
438,210.32,243.47,4.75,4.11
439,228.60,262.12,4.37,3.82
440,211.96,245.32,4.72,4.08
441,220.48,253.65,4.54,3.94
442,220.24,253.52,4.54,3.94
443,230.36,263.92,4.34,3.79
444,227.43,260.65,4.40,3.84
445,236.94,270.13,4.22,3.70
446,219.80,253.46,4.55,3.95
447,225.58,258.79,4.43,3.86
448,216.09,249.32,4.63,4.01
449,226.56,259.73,4.41,3.85
450,218.39,251.85,4.58,3.97
451,217.83,251.34,4.59,3.98
452,217.80,251.08,4.59,3.98
453,235.16,268.66,4.25,3.72
454,227.15,260.35,4.40,3.84
455,221.38,254.90,4.52,3.92
456,223.03,256.21,4.48,3.90
457,243.30,276.79,4.11,3.61
458,219.68,252.86,4.55,3.95
459,217.38,250.54,4.60,3.99
460,217.42,250.78,4.60,3.99
461,220.26,253.46,4.54,3.95
462,211.43,244.68,4.73,4.09
463,235.67,268.87,4.24,3.72
464,234.27,267.49,4.27,3.74
465,235.85,269.07,4.24,3.72
466,227.78,261.22,4.39,3.83
467,223.72,257.23,4.47,3.89
468,222.36,255.88,4.50,3.91
469,217.88,251.11,4.59,3.98
470,216.32,249.55,4.62,4.01
471,228.87,262.01,4.37,3.82
472,228.10,261.26,4.38,3.83
473,219.90,253.38,4.55,3.95
474,223.18,256.38,4.48,3.90
475,218.77,252.00,4.57,3.97
476,222.79,255.99,4.49,3.91
477,223.78,257.49,4.47,3.88
478,225.32,258.54,4.44,3.87
479,229.79,263.43,4.35,3.80
480,227.49,260.70,4.40,3.84
481,224.67,258.14,4.45,3.87
482,225.21,258.58,4.44,3.87
483,210.64,243.88,4.75,4.10
484,215.19,248.45,4.65,4.02
485,233.68,266.90,4.28,3.75
486,225.56,259.28,4.43,3.86
487,212.08,245.29,4.72,4.08
488,212.04,245.34,4.72,4.08
489,218.70,251.93,4.57,3.97
490,221.51,254.71,4.51,3.93
491,208.15,241.34,4.80,4.14
492,222.21,255.65,4.50,3.91
493,211.74,244.89,4.72,4.08
494,214.22,247.67,4.67,4.04
495,221.77,255.19,4.51,3.92
496,212.65,245.95,4.70,4.07
497,221.26,254.79,4.52,3.92
498,223.17,256.71,4.48,3.90
499,211.89,245.03,4.72,4.08
